A / A.,"Asiatic Collection (Oriental Institute, Chicago), Museumssignatur."
A / A.,"Tell Asmar(/Ešnunna) (Oriental Institute, Chicago), Museumssignatur."
A / A.,"Assur (Istanbul), Museumssignatur."
A / A.,"Mari-Briefe (Louvre), vorläufige Museumssignatur."
Adana,"Adana, Archäologisches Museum, Museumssignatur."
Ag.,"Tall Ağreb, Signatur der Funde."
AM,"Unpublizierte Texte aus Alalaḫ Schicht VII, Museums- bzw. Ausgrabungssignatur."
AO  ,"Antiquités orientales (Louvre), Museumssignatur."
APM,"Allard Pierson Museum (Amsterdam), Museumssignatur."
AS,"Antiquités de la Susiane (Louvre), Museumssignatur."
ÄS,"Staatliches Museum Ägyptischer Kunst (München), Sammlungssignatur."
As.,"(Tall) Asmar(/Ešnunna), Signatur der Funde."
Ashm.,"Ashmolean Museum (Oxford), Tontafelsignatur."
Ass / Ass.,"Assur (Berlin/Istanbul), Tafelsignatur."
AT,"Atchana(/Alalaḫ), Tafelsignatur. Auch: ATT."
AUAM,"Andrews University Archaeological Museum, Museumssignatur."
Bab.    ,"Babylon, Signatur der Funde"
BE,"(ohne Bandzahl) Babylon-Tafeln in Berlin (unv.), Tafelsignatur."
BEY.,"Tall Baydar, Signatur der Funde."
BIF VR,"Biblisches Institut der Universität Freiburg (Schweiz), Vorderasiatische Rollsiegel, Signatur."
BLMJ,"Bible Lands Museum (Jerusalem), Museumssignatur."
BM,"British Museum (London), Museumssignatur."
BM WA,"British Museum, Western Asiatic Department, Museumssignatur."
Bo.,"Boğazköy, Tafelsignatur (unv.) Texte."
Brit. Lib.,"British Library, London; MS = Museumssignatur."
BT,"Balawat, Signatur der Funde."
Bu.,"Budge (British Museum), Signatur der Sammlung."
Bz.,"Tall Bazi, Grabungssignatur."
CBS,"Collection of the Babylonian Section (University Museum, Philadelphia), Museumssignatur."
CUNES,"Cornell University of Near Eastern Studies, Ithaca NY, Signatur."
DeZ,"Dēr ez-Zōr, Tafelsignatur."
Di / Di.,"Tell ed-Dēr(/Sippar-Amnanum), Tafelsignatur."
DT,"Daily Telegraph (British Museum, London), Museumssignatur."
EA HC KMD,"Kumidi, Textsignatur (vgl. J.-G. Heintz et al., Index documentaire d’El-Amarna, 1 [1982] 410)."
EA HC TAN'K,"Taʿanaḫ, Textsignatur (vgl. J.-G. Heintz et al., Index documentaire d’El-Amarna, 1 [1982] 410f.)."
Emar,"Die in Emar VI publizierten Texte aus Meskene, Signatur."
Erm.,"Eremitage (Sankt-Petersburg), Museumssignatur."
Eš.,"Ešnunna, Tafelsignatur."
FLP,"Free Library of Philadelphia (Museum), Museumssignatur."
Fort.,"Bezeichnung für die Persepolis Fortification Tablets (s. PF) vor der Publikation von R. T. Hallock, Persepolis Fortification tablets (= OIP 92, 1969), für eine Konkordanz mit der neueren Tafelsignatur PF s. ibid. S. 12."
Gir.,"Girnavaz, Grabungssignatur."
H,"Ḫarran, Signatur der Inschriften."
Haddad,Signatur der Textfunde aus Tall Ḥaddād/Mê-Turan.
HLW,"Tall Ḥalāwa, Signatur der Funde."
HMR,"Tall al-Uḥaimir(/Kiš), Signatur der Funde."
HS,"Hilprecht-Sammlung (Jena), Tafelsignatur."
HSM,"Harvard Semitic Museum, Signatur."
H.T.,"Haft Tepe, Tafelsignatur."
H.T.S.,"Haft Tepe, Signatur der Siegelabdrücke."
HTS,"Hartford Theological Seminary Collection (texts now at Yale and Andrews Universities), Signatur."
IB,"Pontificio Istituto Biblico (Rom), Museumssignatur."
IB,"Išān al-Baḥrīyāt(/Isin), Signatur der Funde."
IM,"Iraq Museum (Baghdad), Museumssignatur."
Ish.,"Ishchali/Iščāli, Signatur der Funde."
Ist. Ni.,"Istanbuler Museum: Nippur, Tafelsignatur."
Ist. S.,"Istanbuler Museum: Sippar, Tafelsignatur."
JENu,"Nuzi, Textsignatur (unpubl. Textzeugen)."
K / K.,"Kouyunjik(/Ninive) (British Museum, London), Museumssignatur."
Ka / Ka.,"Kārum-Kaniš/Kültepe, Signatur."
Kayseri,"Kultepe Excavations Kayseri, Turkey; Grabungssignatur."
KF,"Kūl-e Farah, Signatur der Funde."
Kh.,"Khafajah(/Ḫafāği) (Chicago), Signatur der Funde."
Ki.,"King (British Museum, London), Museumssignatur."
Kl. / KL,"Kāmid el-Lōz, Signatur der Funde."
Kt. / kt.,"Kültepe-Texte der türkischen Grabungen seit 1948, Signatur der Funde."
KTT,"Keilschrifttexte, Tuttul (Tall Biʿa). Signatur der in Tall Biʿa/Tuttul 2 = WVDOG 100 (2001) publizierten Texte."
KuT,"Kuşaklı, Tafelsignatur."
L / L.,"Lagaš (Istanbul), Museumssignatur."
L / L.,"Larsa, Signatur unveröffentlichter Tontafeln."
L / L.,"Tell Leilān(/Tall Lailān), Signatur der Funde."
LB,"Collection de Liagre Böhl (Leiden), Signatur der Sammlung."
Li.,"Lidar Höyük, Grabungssignatur."
Liv.,"Liverpool, Museumssignatur."
M / M.,"Mari, Signatur der Funde."
MAH,"Musée d’art et d’histoire (Genf), Inventarsignatur."
